Code commune;Nom de la commune;dep_tx_chomage_24
49092;Chemillé-en-Anjou;6,4
91345;Longjumeau;6,5
93049;Neuilly-Plaisance;10,3
59295;Hazebrouck;9,6
60463;Nogent-sur-Oise;7,4
38563;Voiron;6
45147;Fleury-les-Aubrais;7,4
59368;La Madeleine;9,6
91570;Saint-Michel-sur-Orge;6,5
95428;Montmorency;8
57480;Montigny-lès-Metz;7,2
69202;Sainte-Foy-lès-Lyon;6,5
91434;Morsang-sur-Orge;6,5
06079;Mandelieu-la-Napoule;6,8
13041;Gardanne;8,5
972222;Le Robert;12,3
77243;Lagny-sur-Marne;6,9
13002;Allauch;8,5
62178;Bruay-la-Buissière;8,5
69091;Givors;6,5
95555;Saint-Gratien;8
78545;Saint-Cyr-l'École;6,5
77350;Ozoir-la-Ferrière;6,9
69204;Saint-Genis-Laval;6,5
85146;Montaigu-Vendée;5,4
94059;Le Plessis-Trévise;7,3
59410;Mons-en-Barœul;9,6
31424;Plaisance-du-Touch;7,6
94067;Saint-Mandé;7,3
92014;Bourg-la-Reine;6
94077;Villeneuve-le-Roi;7,3
44026;Carquefou;5,6
92071;Sceaux;6
29039;Concarneau;6,2
52121;Chaumont;6,6
67267;Lingolsheim;6,5
78123;Carrières-sous-Poissy;6,5
59155;Coudekerque-Branche;9,6
59646;Wasquehal;9,6
59279;Halluin;9,6
44035;La Chapelle-sur-Erdre;5,6
59172;Denain;9,6
31157;Cugnaux;7,6
78383;Maurepas;6,5
92022;Chaville;6
59163;Croix;9,6
44020;Bouguenais;5,6
94042;Joinville-le-Pont;7,3
71153;Le Creusot;6,6
57227;Forbach;7,2
78126;La Celle-Saint-Cloud;6,5
77294;Mitry-Mory;6,9
91161;Chilly-Mazarin;6,5
21054;Beaune;5,8
22113;Lannion;6,2
35115;Fougères;5,8
84054;L' Isle-sur-la-Sorgue;9,7
59271;Grande-Synthe;9,6
76451;Mont-Saint-Aignan;8
57631;Sarreguemines;7,2
46042;Cahors;7,2
33075;Bruges;6,8
