Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Maubeuge;59392;2 042;2 130;0,043
Montfermeil;93047;1 992;2 037;0,023
Vanves;92075;3 247;3 223;-0,007
Saint-Sébastien-sur-Loire;44190;2 194;2 309;0,052
Orvault;44114;2 169;2 282;0,052
Dieppe;76217;2 167;2 281;0,053
Soissons;02722;2 021;2 109;0,044
Yerres;91691;2 150;2 225;0,035
Illkirch-Graffenstaden;67218;2 596;2 660;0,025
Sucy-en-Brie;94071;2 724;2 862;0,051
Le Gosier;971113;;;
Rambouillet;78517;2 562;2 673;0,043
Remire-Montjoly;973309;;;
Gonesse;95277;2 554;2 570;0,006
Blagnac;31069;3 741;3 738;-0,001
Taverny;95607;2 342;2 455;0,048
La Teste-de-Buch;33529;2 148;2 260;0,052
Bussy-Saint-Georges;77058;2 683;2 762;0,029
Champs-sur-Marne;77083;2 925;3 090;0,056
Limeil-Brévannes;94044;2 413;2 525;0,046
Cormeilles-en-Parisis;95176;2 441;2 525;0,034
Bergerac;24037;2 035;2 122;0,043
Sens;89387;2 128;2 244;0,055
Lambersart;59328;2 509;2 633;0,049
Armentières;59017;2 183;2 266;0,038
Gradignan;33192;2 535;2 666;0,052
Villeparisis;77514;2 322;2 385;0,027
Sannois;95582;2 057;2 134;0,037
Étampes;91223;2 568;2 665;0,038
Grigny;91286;2 605;2 669;0,025
Cenon;33119;2 200;2 278;0,035
Brétigny-sur-Orge;91103;2 239;2 385;0,065
Lunel;34145;2 087;2 158;0,034
La Garde;83062;2 332;2 453;0,052
Élancourt;78208;4 118;4 247;0,031
Saumur;49328;2 068;2 144;0,037
Vertou;44215;2 586;2 656;0,027
Aurillac;15014;2 108;2 216;0,051
Eaubonne;95203;2 393;2 416;0,01
Biarritz;64122;2 271;2 348;0,034
Miramas;13063;2 159;2 245;0,04
Muret;31395;2 242;2 341;0,044
Castelnau-le-Lez;34057;2 469;2 546;0,031
Villeneuve-la-Garenne;92078;2 431;2 456;0,01
Les Ulis;91692;3 552;3 617;0,018
Les Pavillons-sous-Bois;93057;2 201;2 328;0,058
Sèvremoine;49301;2 253;2 334;0,036
Le Grand-Quevilly;76322;2 503;2 619;0,046
Lormont;33249;2 310;2 435;0,054
Hénin-Beaumont;62427;2 093;2 208;0,055
Brunoy;91114;2 492;2 626;0,054
Cavaillon;84035;2 230;2 317;0,039
Saint-Ouen-l'Aumône;95572;2 565;2 665;0,039
Sainte-Suzanne;974420;;;
Alençon;61001;2 116;2 202;0,041
Saintes;17415;2 136;2 220;0,039
Vernon;27681;2 488;2 625;0,055
Béthune;62119;2 174;2 231;0,026
Vichy;03310;2 012;2 099;0,043
Le Bouscat;33069;2 371;2 429;0,024
Vierzon;18279;2 149;2 235;0,04
Libourne;33243;2 334;2 404;0,03
Eysines;33162;2 394;2 476;0,034
Kourou;973304;;;
Montbéliard;25388;2 181;2 247;0,03
Petit-Bourg;971118;;;
Orly;94054;3 244;3 372;0,039
Laon;02408;2 123;2 224;0,048
Frontignan;34108;2 186;2 264;0,036
Le Kremlin-Bicêtre;94043;2 712;2 725;0,005
Couëron;44047;2 452;2 587;0,055
Fontenay-aux-Roses;92032;3 064;3 269;0,067
Montgeron;91421;2 337;2 402;0,028
Beaupréau-en-Mauges;49023;2 155;2 248;0,043
Rodez;12202;2 202;2 282;0,036
Sainte-Anne;971128;;;
Les Lilas;93045;2 591;2 636;0,017
Dole;39198;2 171;2 258;0,04
La Valette-du-Var;83144;2 140;2 204;0,03
Dammarie-les-Lys;77152;2 268;2 373;0,046
Olivet;45232;2 452;2 583;0,053
Hérouville-Saint-Clair;14327;2 395;2 491;0,04
Rochefort;17299;2 215;2 303;0,04
Combs-la-Ville;77122;2 092;2 129;0,018
Lanester;56098;2 208;2 300;0,042
Roissy-en-Brie;77390;2 268;2 398;0,057
Tassin-la-Demi-Lune;69244;2 695;2 771;0,028
Saint-Jean-de-Braye;45284;2 631;2 810;0,068
Deuil-la-Barre;95197;2 038;2 132;0,046
Maisons-Laffitte;78358;2 866;2 896;0,01
Le Moule;971117;;;
Vélizy-Villacoublay;78640;4 091;4 115;0,006
Challans;85047;2 071;2 165;0,045
Saint-Dizier;52448;2 131;2 225;0,044
Torcy;77468;2 450;2 511;0,025
Saint-Louis;68297;2 520;2 638;0,047
Manosque;04112;2 175;2 237;0,029
Loos;59360;2 778;2 997;0,079
Gif-sur-Yvette;91272;2 612;4 102;0,57
Les Pennes-Mirabeau;13071;2 318;2 427;0,047
Oyonnax;01283;2 301;2 420;0,052
Montigny-lès-Cormeilles;95424;2 140;2 200;0,028
Auch;32013;2 111;2 220;0,052
Abbeville;80001;2 101;2 207;0,05
Villeneuve-sur-Lot;47323;2 074;2 176;0,049
Mantes-la-Ville;78362;2 393;2 482;0,037
